date,Hogaak,Faithless Looting
2019-05-03,0,21
2019-05-07,0,16
2019-05-10,0,26
2019-05-14,0,25
2019-05-17,0,16
2019-05-21,0,16
2019-05-24,0,22
2019-05-28,0,24
2019-05-31,0,28
2019-06-12,13,38
2019-06-14,7,28
2019-06-18,4,39
2019-06-21,4,36
2019-06-25,5,38
2019-06-28,8,35
2019-07-12,8,33
2019-07-16,20,46
2019-07-19,16,28
2019-07-23,17,32
2019-07-26,9,30
2019-07-30,15,28
2019-08-13,18,37
2019-08-16,17,36
2019-08-20,10,44
2019-08-23,6,36
2019-08-27,12,50
